LAT,LON,direction,speed
26.75,30.75,341.71,3.1
26.75,31.25,337.32,3.01
26.75,31.75,339.7,3.11
26.75,32.25,339.02,3.14
26.75,32.75,339.11,3.13
26.75,33.25,339.72,3.22
26.75,33.75,336.54,3.63
26.75,34.25,332.39,5.07
26.75,34.75,327.01,5.32
26.75,35.25,321.03,4.9
26.75,35.75,314.62,4.13
26.75,36.25,307.58,3.16
26.75,36.75,303.58,3.14
27.25,28.75,184.12,3.05
27.25,29.25,289.78,3.08
27.25,29.75,334.34,2.98
27.25,30.25,344.9,2.94
27.25,30.75,342.9,2.99
27.25,31.25,344.16,3.03
27.25,31.75,345.02,3.16
27.25,32.25,341.71,3.24
27.25,32.75,339.58,3.31
27.25,33.25,336.88,3.59
27.25,33.75,324.73,4.59
27.25,34.25,320.25,5.07
27.25,34.75,322.21,4.92
27.25,35.25,323.35,4.27
27.25,35.75,318.98,3.42
27.25,36.25,306.98,2.87
27.25,36.75,273.92,3.16
27.75,28.75,247.55,3.09
27.75,29.25,315,3.07
27.75,29.75,341.48,2.98
27.75,30.25,347.54,2.95
27.75,30.75,347.47,3.01
27.75,31.25,349.38,3.08
27.75,31.75,347.56,3.19
27.75,32.25,343.06,3.34
27.75,32.75,338.13,3.69
27.75,33.25,331.74,4.19
27.75,33.75,319.54,4.59
27.75,34.25,325.64,4.25
27.75,34.75,335.76,4.03
27.75,35.25,280.17,3.55
27.75,35.75,209.85,2.96
27.75,36.25,296.58,2.94
27.75,36.75,256.39,3.07
28.25,28.75,316.27,3.08
28.25,29.25,333.33,3.09
28.25,29.75,342.38,3.09
28.25,30.25,347.41,3.07
28.25,30.75,350.22,3.05
28.25,31.25,350.33,3.1
28.25,31.75,335.46,3.18
28.25,32.25,336.68,3.37
28.25,32.75,336.68,3.96
28.25,33.25,329.9,4.44
28.25,33.75,322.48,3.52
28.25,34.25,340.22,3.65
28.25,34.75,252.78,3.56
28.25,35.25,141.02,3.26
28.25,35.75,113.18,2.89
28.25,36.25,304.88,2.78
28.25,36.75,269.03,2.82
28.75,28.75,322.2,3.13
28.75,29.25,331.42,3.24
28.75,29.75,337.53,3.22
28.75,30.25,343.71,3.12
28.75,30.75,348.49,3.03
28.75,31.25,345.69,3.09
28.75,31.75,280.94,3.13
28.75,32.25,310.74,3.4
28.75,32.75,321.25,3.83
28.75,33.25,293.37,3.97
28.75,33.75,302.77,3.01
28.75,34.25,336.99,3.54
28.75,34.75,242.34,3.46
28.75,35.25,184.6,3.15
28.75,35.75,227.53,2.82
28.75,36.25,332.89,2.56
28.75,36.75,286.75,2.78
29.25,28.75,311.14,3.18
29.25,29.25,329.17,3.34
29.25,29.75,339.03,3.29
29.25,30.25,344.87,3.18
29.25,30.75,330.67,3.1
29.25,31.25,260.26,3.13
29.25,31.75,236.85,3.09
29.25,32.25,300.53,3.36
29.25,32.75,262.3,3.59
29.25,33.25,162.3,3.52
29.25,33.75,269.85,2.99
29.25,34.25,324.24,3.26
29.25,34.75,335.24,3.15
29.25,35.25,325.41,2.94
29.25,35.75,317.37,2.75
29.25,36.25,333.79,2.57
29.25,36.75,305.4,2.87
29.75,28.75,322.06,3.17
29.75,29.25,337.43,3.23
29.75,29.75,342.35,3.19
29.75,30.25,343.73,3.1
29.75,30.75,328.78,3.04
29.75,31.25,265.1,3.03
29.75,31.75,277.98,2.85
29.75,32.25,299.43,3.04
29.75,32.75,211.13,3.25
29.75,33.25,108.73,3.23
29.75,33.75,301.85,2.82
29.75,34.25,328.51,2.93
29.75,34.75,339.17,2.83
29.75,35.25,327.54,2.8
29.75,35.75,309.51,2.86
29.75,36.25,323.08,2.72
29.75,36.75,313.29,2.89
30.25,28.75,340.61,3.2
30.25,29.25,340.4,3.15
30.25,29.75,337.1,3.03
30.25,30.25,335.68,2.89
30.25,30.75,338.4,2.8
30.25,31.25,344.87,2.75
30.25,31.75,332.65,2.59
30.25,32.25,309.04,2.76
30.25,32.75,265.37,2.92
30.25,33.25,243.76,2.91
30.25,33.75,337.23,2.71
30.25,34.25,335.67,2.73
30.25,34.75,331.95,2.65
30.25,35.25,317.89,2.73
30.25,35.75,301.82,2.95
30.25,36.25,308.6,2.95
30.25,36.75,304.63,3
30.75,28.75,337.28,3.6
30.75,29.25,333.69,3.64
30.75,29.75,330.14,3.3
30.75,30.25,329.42,2.97
30.75,30.75,332.11,2.8
30.75,31.25,336.57,2.64
30.75,31.75,340.84,2.73
30.75,32.25,333.94,2.88
30.75,32.75,329.95,2.98
30.75,33.25,330.39,2.97
30.75,33.75,324.2,2.8
30.75,34.25,323.27,2.61
30.75,34.75,319.61,2.52
30.75,35.25,303.98,2.55
30.75,35.75,286.38,2.74
30.75,36.25,296,3.2
30.75,36.75,297.12,3.24
31.25,28.75,327.65,4.35
31.25,29.25,326.41,4.42
31.25,29.75,325.38,4.09
31.25,30.25,325.61,3.72
31.25,30.75,327.4,3.49
31.25,31.25,330.36,3.37
31.25,31.75,333.57,3.56
31.25,32.25,334.13,3.68
31.25,32.75,328.81,3.7
31.25,33.25,320.06,3.6
31.25,33.75,316.02,3.39
31.25,34.25,309.24,2.69
31.25,34.75,307.72,2.37
31.25,35.25,295.78,2.29
31.25,35.75,279.43,2.5
31.25,36.25,286.34,3.27
31.25,36.75,289.47,3.33
